loser_account,winner_account,symbol,loser_pos,winner_pos,laundered_amount,loser_pnl,linked_bonus,bonus_ts,loser_open_ts,loser_close_ts,winner_open_ts,winner_close_ts,time_since_bonus_hours,loser_side,winner_side,loser_amount,winner_amount,amount_diff_ratio,total_score,is_suspicious,score_breakdown,score_details
A_55021b4ae2,A_c91db6cabf,REDUSDT.PERP,P_01e94ac8e2,P_849eecab99,184.16319999999996,-191.50355000000036,4.89877,2025-03-07T14:05:07.170080,2025-03-07T16:20:40.202631,2025-03-07T16:49:13.606172,2025-03-07T16:20:40.211320,2025-03-07T16:49:13.559191,2.259175708611111,LONG,SHORT,4999.9565,4999.9936,7.420064554472566e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.008689, 'close_diff_sec': 0.046981, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 7.420064554472566e-06, 'diff_percent': 0.0007420064554472565}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -191.50355000000036, 'winner_pnl': 184.16319999999996, 'loss_ratio': 1.0398578543378938}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 2.259175708611111}}"
A_55021b4ae2,A_c91db6cabf,REDUSDT.PERP,P_794233bf52,P_717e6d4df4,150.05915000000005,-154.84199999999964,4.89877,2025-03-07T14:05:07.170080,2025-03-07T15:32:22.299974,2025-03-07T16:04:01.986150,2025-03-07T15:32:22.451833,2025-03-07T16:04:01.552260,1.4542027483333333,SHORT,LONG,4999.746,4999.8766,2.612132696331049e-05,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.151859, 'close_diff_sec': 0.43389, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 2.612132696331049e-05, 'diff_percent': 0.002612132696331049}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -154.84199999999964, 'winner_pnl': 150.05915000000005, 'loss_ratio': 1.0318730980416695}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 1.4542027483333333}}"
A_c91db6cabf,A_55021b4ae2,SUIUSDT.PERP,P_7678186bd1,P_b9ded51fb6,85.83320000000003,-106.94480000000021,50.0,2025-03-06T14:24:33.123600,2025-03-07T02:24:03.580601,2025-03-07T02:30:04.607719,2025-03-07T02:26:47.418384,2025-03-07T02:30:13.358629,11.99179361138889,LONG,SHORT,4998.76615,4999.0565,5.808433347083206e-05,80.0,True,"{'time_sync': 15.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 15}","{'time_sync': {'score': 15.0, 'open_diff_sec': 163.837783, 'close_diff_sec': 8.75091, 'open_score': 10, 'close_score': 20}, 'amount_similarity': {'score': 25, 'diff_ratio': 5.808433347083206e-05, 'diff_percent': 0.005808433347083206}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -106.94480000000021, 'winner_pnl': 85.83320000000003, 'loss_ratio': 1.2459607704244997}, 'bonus_linkage': {'score': 15, 'hours_since_bonus': 11.99179361138889}}"
A_c91db6cabf,A_55021b4ae2,ADAUSDT.PERP,P_d2fa241388,P_53b13e7125,59.73239999999987,-66.57819999999992,50.0,2025-03-06T14:24:33.123600,2025-03-07T14:10:27.153700,2025-03-07T14:28:05.197850,2025-03-07T14:10:27.129177,2025-03-07T14:28:05.176987,23.76500836111111,LONG,SHORT,4999.67845,4999.71675,7.66049264613277e-06,95.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 15}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.024523, 'close_diff_sec': 0.020863, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 7.66049264613277e-06, 'diff_percent': 0.000766049264613277}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -66.57819999999992, 'winner_pnl': 59.73239999999987, 'loss_ratio': 1.1146078175328644}, 'bonus_linkage': {'score': 15, 'hours_since_bonus': 23.76500836111111}}"
A_55021b4ae2,A_c91db6cabf,REDUSDT.PERP,P_df755a4dc3,P_000c6a08e5,44.55254999999988,-46.88115000000016,50.0,2025-03-06T14:23:53.130316,2025-03-07T12:33:33.276439,2025-03-07T14:07:49.810798,2025-03-07T12:33:33.263123,2025-03-07T14:07:49.899922,22.161151700833333,LONG,SHORT,1999.6727,1999.8489,8.811441992476102e-05,95.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 15}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.013316, 'close_diff_sec': 0.089124, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 8.811441992476102e-05, 'diff_percent': 0.008811441992476103}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -46.88115000000016, 'winner_pnl': 44.55254999999988, 'loss_ratio': 1.052266368591703}, 'bonus_linkage': {'score': 15, 'hours_since_bonus': 22.161151700833333}}"
A_55021b4ae2,A_c91db6cabf,OMUSDT.PERP,P_76660a82ec,P_62be683afe,21.403829999999743,-24.448049999999967,50.0,2025-03-06T14:23:53.130316,2025-03-07T13:44:44.386208,2025-03-07T15:20:14.963421,2025-03-07T13:44:44.607752,2025-03-07T15:20:14.224987,23.347571081111113,LONG,SHORT,2998.871,2997.37583,0.0004988263350345838,95.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 15}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.221544, 'close_diff_sec': 0.738434, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 0.0004988263350345838, 'diff_percent': 0.04988263350345838}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -24.448049999999967, 'winner_pnl': 21.403829999999743, 'loss_ratio': 1.1422278162366388}, 'bonus_linkage': {'score': 15, 'hours_since_bonus': 23.347571081111113}}"
A_55021b4ae2,A_c91db6cabf,SUIUSDT.PERP,P_0084db8e88,P_00cb5a500b,20.10169999999971,-25.144000000000233,50.0,2025-03-06T14:23:53.130316,2025-03-07T14:03:06.565660,2025-03-07T14:29:23.187095,2025-03-07T14:03:06.623866,2025-03-07T14:29:20.966838,23.653732039999998,LONG,SHORT,3124.8155,3124.5229,9.364629716755172e-05,95.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 15}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.058206, 'close_diff_sec': 2.220257, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 9.364629716755172e-05, 'diff_percent': 0.009364629716755172}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -25.144000000000233, 'winner_pnl': 20.10169999999971, 'loss_ratio': 1.2508394812379349}, 'bonus_linkage': {'score': 15, 'hours_since_bonus': 23.653732039999998}}"
A_55021b4ae2,A_c91db6cabf,SUIUSDT.PERP,P_98c922fb6e,P_08e6b86fea,17.023049999999785,-25.071300000000065,50.0,2025-03-06T14:23:53.130316,2025-03-07T01:40:25.286822,2025-03-07T02:20:48.935805,2025-03-07T01:40:14.715254,2025-03-07T02:22:52.215866,11.275599029444445,SHORT,LONG,2499.4302,2499.56685,5.467246094744816e-05,80.0,True,"{'time_sync': 15.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 15}","{'time_sync': {'score': 15.0, 'open_diff_sec': 10.571568, 'close_diff_sec': 123.280061, 'open_score': 20, 'close_score': 10}, 'amount_similarity': {'score': 25, 'diff_ratio': 5.467246094744816e-05, 'diff_percent': 0.005467246094744816}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -25.071300000000065, 'winner_pnl': 17.023049999999785, 'loss_ratio': 1.472785429168121}, 'bonus_linkage': {'score': 15, 'hours_since_bonus': 11.275599029444445}}"
A_e7205c325a,A_dcd87c6c96,BTCUSDT.PERP,P_76bf3e4f21,P_e4babc4610,1.9572320000006584,-17.67177200000151,264.82522958333334,2025-03-28T14:29:49.279622,2025-03-28T15:15:47.395018,2025-03-28T15:16:02.679196,2025-03-28T15:15:48.389034,2025-03-28T15:16:01.818805,0.7661431655555556,LONG,SHORT,51499.579376,51499.667,1.7014507897245603e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.994016, 'close_diff_sec': 0.860391, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 1.7014507897245603e-06, 'diff_percent': 0.00017014507897245603}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -17.67177200000151, 'winner_pnl': 1.9572320000006584, 'loss_ratio': 9.02896130862134}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 0.7661431655555556}}"
A_e7205c325a,A_dcd87c6c96,BTCUSDT.PERP,P_76bf3e4f21,P_e4babc4610,1.9572320000006584,-17.67177200000151,5.139215,2025-03-28T14:29:49.232002,2025-03-28T15:15:47.395018,2025-03-28T15:16:02.679196,2025-03-28T15:15:48.389034,2025-03-28T15:16:01.818805,0.7661563933333333,LONG,SHORT,51499.579376,51499.667,1.7014507897245603e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.994016, 'close_diff_sec': 0.860391, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 1.7014507897245603e-06, 'diff_percent': 0.00017014507897245603}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -17.67177200000151, 'winner_pnl': 1.9572320000006584, 'loss_ratio': 9.02896130862134}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 0.7661563933333333}}"
A_e7205c325a,A_dcd87c6c96,BTCUSDT.PERP,P_76bf3e4f21,P_e4babc4610,1.9572320000006584,-17.67177200000151,264.814269,2025-03-28T11:25:34.468131,2025-03-28T15:15:47.395018,2025-03-28T15:16:02.679196,2025-03-28T15:15:48.389034,2025-03-28T15:16:01.818805,3.8369241352777776,LONG,SHORT,51499.579376,51499.667,1.7014507897245603e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.994016, 'close_diff_sec': 0.860391, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 1.7014507897245603e-06, 'diff_percent': 0.00017014507897245603}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -17.67177200000151, 'winner_pnl': 1.9572320000006584, 'loss_ratio': 9.02896130862134}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 3.8369241352777776}}"
A_4943ad62b4,A_e27beda014,BTCUSDT.PERP,P_623187b402,P_33fb30d6ba,1.2484991999999693,-1.9023583999999119,10.587988846153847,2025-04-01T00:54:25.217217,2025-04-01T00:54:51.290983,2025-04-01T01:28:28.499774,2025-04-01T00:54:51.168098,2025-04-01T01:28:28.406555,0.007242712777777777,SHORT,LONG,1299.9249592,1299.9206784,3.2931240122508697e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.122885, 'close_diff_sec': 0.093219, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 3.2931240122508697e-06, 'diff_percent': 0.00032931240122508696}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -1.9023583999999119, 'winner_pnl': 1.2484991999999693, 'loss_ratio': 1.5237161545637823}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 0.007242712777777777}}"
A_4943ad62b4,A_e27beda014,BTCUSDT.PERP,P_623187b402,P_33fb30d6ba,1.2484991999999693,-1.9023583999999119,10.593925270588237,2025-04-01T00:54:25.188054,2025-04-01T00:54:51.290983,2025-04-01T01:28:28.499774,2025-04-01T00:54:51.168098,2025-04-01T01:28:28.406555,0.007250813611111111,SHORT,LONG,1299.9249592,1299.9206784,3.2931240122508697e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.122885, 'close_diff_sec': 0.093219, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 3.2931240122508697e-06, 'diff_percent': 0.00032931240122508696}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -1.9023583999999119, 'winner_pnl': 1.2484991999999693, 'loss_ratio': 1.5237161545637823}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 0.007250813611111111}}"
A_4943ad62b4,A_e27beda014,ETHUSDT.PERP,P_8b16fadf54,P_4e5ef090ec,1.0343720000000758,-1.789696000000049,10.587988846153847,2025-04-01T00:54:25.217217,2025-04-01T01:35:13.470556,2025-04-01T01:49:34.220918,2025-04-01T01:35:13.473595,2025-04-01T01:49:34.210830,0.6800703719444444,SHORT,LONG,1274.850796,1274.86349,9.957243655366882e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.003039, 'close_diff_sec': 0.010088, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 9.957243655366882e-06, 'diff_percent': 0.0009957243655366883}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -1.789696000000049, 'winner_pnl': 1.0343720000000758, 'loss_ratio': 1.73022471605952}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 0.6800703719444444}}"
A_4943ad62b4,A_e27beda014,ETHUSDT.PERP,P_8b16fadf54,P_4e5ef090ec,1.0343720000000758,-1.789696000000049,10.593925270588237,2025-04-01T00:54:25.188054,2025-04-01T01:35:13.470556,2025-04-01T01:49:34.220918,2025-04-01T01:35:13.473595,2025-04-01T01:49:34.210830,0.6800784727777778,SHORT,LONG,1274.850796,1274.86349,9.957243655366882e-06,100.0,True,"{'time_sync': 30.0, 'amount_similarity': 25, 'pnl_imbalance': 25, 'bonus_linkage': 20}","{'time_sync': {'score': 30.0, 'open_diff_sec': 0.003039, 'close_diff_sec': 0.010088, 'open_score': 30, 'close_score': 30}, 'amount_similarity': {'score': 25, 'diff_ratio': 9.957243655366882e-06, 'diff_percent': 0.0009957243655366883}, 'pnl_imbalance': {'score': 25, 'loser_pnl': -1.789696000000049, 'winner_pnl': 1.0343720000000758, 'loss_ratio': 1.73022471605952}, 'bonus_linkage': {'score': 20, 'hours_since_bonus': 0.6800784727777778}}"
